"Date","Price","Open","High","Low","Vol.","Change %"
"10/30/2025","16.57","16.26","17.17","15.73","","-2.07%"
"10/29/2025","16.92","16.34","17.58","16.26","","3.05%"
"10/28/2025","16.42","15.95","16.55","15.66","","3.99%"
"10/27/2025","15.79","15.73","16.07","15.62","","-3.54%"
"10/24/2025","16.37","17.02","17.22","16.02","","-5.38%"
"10/23/2025","17.30","18.36","19.35","17.08","","-6.99%"
"10/22/2025","18.60","17.84","21.01","17.73","","4.09%"
"10/21/2025","17.87","18.65","18.89","17.40","","-1.97%"
"10/20/2025","18.23","20.53","21.02","18.23","","-12.27%"
"10/17/2025","20.78","28.41","28.99","20.73","","-17.90%"
"10/16/2025","25.31","20.49","25.43","19.85","","22.63%"
"10/15/2025","20.64","20.02","22.44","19.11","","-0.82%"
"10/14/2025","20.81","21.46","22.94","19.18","","9.35%"
"10/13/2025","19.03","19.45","20.77","18.61","","-12.14%"
"10/10/2025","21.66","16.36","22.44","16.23","","31.83%"
"10/09/2025","16.43","16.31","17.27","16.26","","0.80%"
"10/08/2025","16.30","17.17","17.20","16.23","","-5.45%"
"10/07/2025","17.24","16.58","17.55","16.19","","5.31%"
"10/06/2025","16.37","16.74","17.09","16.29","","-1.68%"
"10/03/2025","16.65","16.35","17.06","16.20","","0.12%"
"10/02/2025","16.63","16.12","16.92","15.93","","2.09%"
"10/01/2025","16.29","17.28","17.28","15.98","","0.06%"
"09/30/2025","16.28","16.49","16.70","16.02","","0.99%"
