"Date","Price","Open","High","Low","Vol.","Change %"
"10/23/2025","11,611.68","11,599.57","11,614.02","11,549.23","226.17M","0.22%"
"10/22/2025","11,585.90","11,542.22","11,618.28","11,492.03","244.61M","0.35%"
"10/21/2025","11,545.80","11,664.92","11,665.77","11,539.43","232.78M","-0.85%"
"10/20/2025","11,644.55","11,702.55","11,715.56","11,625.04","226.56M","-0.39%"
"10/19/2025","11,690.61","11,697.45","11,740.24","11,679.96","190.83M","-0.05%"
"10/16/2025","11,696.58","11,682.90","11,723.80","11,677.83","306.93M","0.12%"
"10/15/2025","11,682.23","11,603.44","11,682.23","11,601.13","345.57M","0.74%"
"10/14/2025","11,596.00","11,593.05","11,630.36","11,592.30","267.95M","0.04%"
"10/13/2025","11,591.69","11,529.84","11,607.45","11,521.37","282.85M","0.85%"
"10/12/2025","11,494.45","11,371.70","11,538.86","11,320.27","233.24M","-0.77%"
"10/09/2025","11,583.31","11,564.07","11,602.69","11,556.74","254.93M","0.21%"
"10/08/2025","11,559.27","11,581.97","11,607.66","11,543.03","619.40M","-0.21%"
"10/07/2025","11,583.23","11,615.73","11,619.84","11,540.97","305.66M","-0.19%"
"10/06/2025","11,605.20","11,534.51","11,645.14","11,533.71","307.74M","0.66%"
"10/05/2025","11,528.59","11,513.90","11,560.66","11,509.99","248.78M","0.29%"
"10/02/2025","11,495.72","11,540.68","11,557.76","11,480.62","322.14M","-0.29%"
"10/01/2025","11,529.36","11,514.19","11,563.03","11,493.26","356.95M","0.23%"
"09/30/2025","11,502.97","11,439.26","11,555.36","11,425.07","394.00M","0.60%"
"09/29/2025","11,434.18","11,230.43","11,438.05","11,213.66","350.81M","1.82%"
"09/28/2025","11,229.54","11,272.00","11,330.74","11,223.87","255.58M","-0.69%"
"09/25/2025","11,308.11","11,659.56","11,661.23","11,184.71","529.13M","-1.04%"
"09/24/2025","11,426.45","11,045.78","11,450.70","11,000.48","598.31M","5.06%"
"09/22/2025","10,876.42","10,802.27","10,879.03","10,777.73","261.25M","0.63%"
"09/21/2025","10,808.68","10,800.13","10,862.05","10,758.92","272.83M","0.26%"
"09/18/2025","10,780.69","10,667.36","10,780.69","10,629.54","607.40M","1.22%"
"09/17/2025","10,650.39","10,533.50","10,650.39","10,524.57","234.28M","1.25%"
"09/16/2025","10,518.73","10,429.59","10,518.73","10,406.69","242.71M","0.88%"
"09/15/2025","10,427.06","10,426.84","10,445.05","10,366.59","240.14M","-0.07%"
"09/14/2025","10,433.98","10,436.93","10,452.17","10,371.16","153.51M","-0.18%"
"09/11/2025","10,453.06","10,502.62","10,517.60","10,430.96","192.58M","-0.43%"
"09/10/2025","10,498.04","10,519.37","10,519.52","10,456.41","232.14M","-0.30%"
"09/09/2025","10,529.17","10,499.99","10,529.17","10,421.08","253.05M","0.31%"
"09/08/2025","10,497.05","10,593.44","10,608.23","10,486.17","260.53M","-0.91%"
"09/07/2025","10,593.97","10,664.75","10,674.53","10,587.01","126.57M","-0.58%"
"09/04/2025","10,655.61","10,620.39","10,663.92","10,616.62","153.19M","0.34%"
"09/03/2025","10,619.10","10,649.54","10,695.74","10,615.82","168.38M","-0.45%"
"09/02/2025","10,667.44","10,669.70","10,676.51","10,611.95","215.94M","-0.03%"
"09/01/2025","10,670.56","10,699.66","10,709.64","10,644.26","208.27M","-0.25%"
"08/31/2025","10,696.89","10,760.09","10,771.41","10,678.98","236.73M","-0.33%"
"08/28/2025","10,732.31","10,807.97","10,823.70","10,732.31","271.05M","-0.70%"
"08/27/2025","10,808.45","10,882.88","10,883.85","10,808.45","197.81M","-0.61%"
"08/26/2025","10,874.74","10,898.52","10,900.40","10,855.47","380.57M","-0.21%"
"08/25/2025","10,898.04","10,901.00","10,921.50","10,887.92","252.38M","-0.06%"
"08/24/2025","10,904.53","10,910.79","10,966.75","10,904.53","227.68M","0.35%"
"08/21/2025","10,866.83","10,868.41","10,889.57","10,860.17","288.87M","-0.10%"
"08/20/2025","10,878.07","10,855.41","10,910.45","10,844.54","196.58M","-0.03%"
"08/19/2025","10,881.71","10,878.35","10,896.89","10,851.25","256.70M","-0.04%"
"08/18/2025","10,885.58","10,897.08","10,902.52","10,847.07","216.53M","-0.11%"
"08/17/2025","10,897.39","10,831.56","10,898.46","10,831.26","190.65M","0.59%"
"08/14/2025","10,833.59","10,765.37","10,833.59","10,752.43","242.98M","0.65%"
"08/13/2025","10,763.45","10,779.44","10,815.21","10,745.82","233.22M","-0.06%"
"08/12/2025","10,769.66","10,783.28","10,804.45","10,747.92","234.47M","-0.20%"
"08/11/2025","10,791.64","10,886.91","10,887.59","10,791.64","266.74M","-0.99%"
"08/10/2025","10,899.11","10,924.68","10,929.29","10,887.72","234.51M","-0.29%"
"08/07/2025","10,930.30","10,932.41","10,938.56","10,911.86","272.46M","-0.15%"
"08/06/2025","10,946.74","10,922.17","10,949.54","10,909.56","357.67M","0.23%"
"08/05/2025","10,921.85","10,837.97","10,921.85","10,816.12","527.09M","0.76%"
